country,gdp_nominal,gdp, gdp_growth ,population,gdp_per_capita,pct_share_world_gdp
Macao,50361201096,$50.36 billion,0.09,622585,80890,0
Uzbekistan,49677172714,$49.68 billion,0.05,31959785,1554,0
Slovenia,48769655479,$48.77 billion,0.05,2076394,23488,0
Lithuania,47544459559,$47.54 billion,0.04,2845414,16709,0
Serbia,41431648801,$41.43 billion,0.02,8829628,4692,0
Azerbaijan,40747792238,$40.75 billion,0,9845320,4139,0
Jordan,40068308451,$40.07 billion,0.02,9785843,4095,0
Tunisia,39952095561,$39.95 billion,0.02,11433443,3494,0
Paraguay,39667400816,$39.67 billion,0.05,6867061,5776,0
Libya,38107728083,$38.11 billion,0.27,6580724,5791,0
Turkmenistan,37926285714,$37.93 billion,0.07,5757667,6587,0
DR Congo,37642482562,$37.64 billion,0.04,81398764,462,0
Bolivia,37508642113,$37.51 billion,0.04,11192855,3351,0
Côte d'Ivoire,37353276059,$37.35 billion,0.08,24437470,1529,0
Bahrain,35432686170,$35.43 billion,0.04,1494076,23715,0
Cameroon,34922782311,$34.92 billion,0.04,24566073,1422,0
Yemen,31267675216,$31.27 billion,-0.06,27834819,1123,0
Latvia,30463302414,$30.46 billion,0.05,1951097,15613,0
Estonia,26611651599,$26.61 billion,0.05,1319390,20170,0
Uganda,25995031850,$26.00 billion,0.04,41166588,631,0
Zambia,25868142073,$25.87 billion,0.03,16853599,1535,0
Nepal,24880266905,$24.88 billion,0.08,27632681,900,0
El Salvador,24805439600,$24.81 billion,0.02,6388126,3883,0
Iceland,24488467010,$24.49 billion,0.04,334393,73233,0
Honduras,22978532897,$22.98 billion,0.05,9429013,2437,0
Cambodia,22158209503,$22.16 billion,0.07,16009409,1384,0
Trinidad and Tobago,22079017627,$22.08 billion,-0.02,1384059,15952,0
Cyprus,22054225828,$22.05 billion,0.04,1179678,18695,0
Zimbabwe,22040902300,$22.04 billion,0.05,14236595,1548,0
Senegal,21070225735,$21.07 billion,0.07,15419355,1366,0
Papua New Guinea,20536314601,$20.54 billion,0.03,8438036,2434,0
Afghanistan,19543976895,$19.54 billion,0.03,36296113,538,0
Bosnia and Herzegovina,18054854789,$18.05 billion,0.03,3351525,5387,0
Botswana,17406565823,$17.41 billion,0.02,2205080,7894,0
Laos,16853087485,$16.85 billion,0.07,6953035,2424,0
Mali,15334336144,$15.33 billion,0.05,18512430,828,0
Georgia,15081338092,$15.08 billion,0.05,4008716,3762,0
Gabon,15013950984,$15.01 billion,0.01,2064823,7271,0
Jamaica,14781107822,$14.78 billion,0.01,2920848,5061,0
State of Palestine,14498100000,$14.50 billion,0.03,4747227,3054,0
Nicaragua,13814261536,$13.81 billion,0.05,6384846,2164,0
Mauritius,13266427697,$13.27 billion,0.04,1264499,10491,0
Namibia,13253698015,$13.25 billion,-0.01,2402633,5516,0
Albania,13038538300,$13.04 billion,0.04,2884169,4521,0
Mozambique,12645508634,$12.65 billion,0.04,28649018,441,0
Malta,12518134319,$12.52 billion,0.06,437933,28585,0
Burkina Faso,12322864245,$12.32 billion,0.06,19193234,642,0
Equatorial Guinea,12293579173,$12.29 billion,-0.05,1262002,9741,0
Bahamas,12162100000,$12.16 billion,0.01,381755,31858,0
Brunei ,12128089002,$12.13 billion,0.01,424473,28572,0
Armenia,11536590636,$11.54 billion,0.08,2944791,3918,0
Madagascar,11499803807,$11.50 billion,0.04,25570512,450,0
Mongolia,11433635876,$11.43 billion,0.05,3113786,3672,0
North Macedonia,11279509014,$11.28 billion,0,2081996,5418,0
Guinea,10472514515,$10.47 billion,0.11,12067519,868,0
Chad,9871247732,$9.87 billion,-0.03,15016753,657,0
Benin,9246696924,$9.25 billion,0.06,11175198,827,0
Rwanda,9135454442,$9.14 billion,0.06,11980961,762,0
Congo,8701334800,$8.70 billion,-0.03,5110695,1703,0
Haiti,8408150518,$8.41 billion,0.01,10982366,766,0
Moldova,8128493432,$8.13 billion,0.05,4059684,2002,0
Niger,8119710126,$8.12 billion,0.05,21602382,376,0
Kyrgyzstan,7564738836,$7.56 billion,0.05,6189733,1222,0
Tajikistan,7146449583,$7.15 billion,0.08,8880268,805,0
Malawi,6303292264,$6.30 billion,0.04,17670196,357,0
Guam,5859000000,$5.86 billion,0,164281,35665,0
Fiji,5061202767,$5.06 billion,0.04,877459,5768,0
Mauritania,5024708656,$5.02 billion,0.04,4282570,1173,0
Maldives,4865546027,$4.87 billion,0.07,496402,9802,0
Montenegro,4844592067,$4.84 billion,0.05,627563,7720,0
Togo,4757776485,$4.76 billion,0.04,7698474,618,0
Barbados,4673500000,$4.67 billion,0.01,286232,16328,0
Eswatini,4433664364,$4.43 billion,0.02,1124805,3942,0
